chunk_id,parent_doc_id,source_type,title,year,statement_type,note_number,section_type,chunk_index,chunk_count,chunk_text_length
2022_section_7_chunk_22,2022_section_7,main_section,주석,2022,,,notes_section,22,30,1281
2022_section_7_chunk_23,2022_section_7,main_section,주석,2022,,,notes_section,23,30,1321
2022_section_7_chunk_24,2022_section_7,main_section,주석,2022,,,notes_section,24,30,1324
2022_section_7_chunk_25,2022_section_7,main_section,주석,2022,,,notes_section,25,30,1335
2022_section_7_chunk_26,2022_section_7,main_section,주석,2022,,,notes_section,26,30,1183
2022_section_7_chunk_27,2022_section_7,main_section,주석,2022,,,notes_section,27,30,1327
2022_section_7_chunk_28,2022_section_7,main_section,주석,2022,,,notes_section,28,30,1328
2022_section_7_chunk_29,2022_section_7,main_section,주석,2022,,,notes_section,29,30,492
2022_note_1_0_chunk_0,2022_note_1_0,note_block,1. 일반적 사항:,2022,,1,,0,1,334
2022_note_2_1_chunk_0,2022_note_2_1,note_block,2. 중요한 회계처리방침:,2022,,2,,0,15,1140
2022_note_2_1_chunk_1,2022_note_2_1,note_block,2. 중요한 회계처리방침:,2022,,2,,1,15,1160
2022_note_2_1_chunk_2,2022_note_2_1,note_block,2. 중요한 회계처리방침:,2022,,2,,2,15,1239
2022_note_2_1_chunk_3,2022_note_2_1,note_block,2. 중요한 회계처리방침:,2022,,2,,3,15,1200
2022_note_2_1_chunk_4,2022_note_2_1,note_block,2. 중요한 회계처리방침:,2022,,2,,4,15,1307
2022_note_2_1_chunk_5,2022_note_2_1,note_block,2. 중요한 회계처리방침:,2022,,2,,5,15,1149
2022_note_2_1_chunk_6,2022_note_2_1,note_block,2. 중요한 회계처리방침:,2022,,2,,6,15,1071
2022_note_2_1_chunk_7,2022_note_2_1,note_block,2. 중요한 회계처리방침:,2022,,2,,7,15,1307
2022_note_2_1_chunk_8,2022_note_2_1,note_block,2. 중요한 회계처리방침:,2022,,2,,8,15,1297
2022_note_2_1_chunk_9,2022_note_2_1,note_block,2. 중요한 회계처리방침:,2022,,2,,9,15,1319
2022_note_2_1_chunk_10,2022_note_2_1,note_block,2. 중요한 회계처리방침:,2022,,2,,10,15,1308
2022_note_2_1_chunk_11,2022_note_2_1,note_block,2. 중요한 회계처리방침:,2022,,2,,11,15,1078
2022_note_2_1_chunk_12,2022_note_2_1,note_block,2. 중요한 회계처리방침:,2022,,2,,12,15,1218
2022_note_2_1_chunk_13,2022_note_2_1,note_block,2. 중요한 회계처리방침:,2022,,2,,13,15,1115
2022_note_2_1_chunk_14,2022_note_2_1,note_block,2. 중요한 회계처리방침:,2022,,2,,14,15,804
2022_note_3_2_chunk_0,2022_note_3_2,note_block,3. 중요한 회계추정 및 가정:,2022,,3,,0,3,1068
2022_note_3_2_chunk_1,2022_note_3_2,note_block,3. 중요한 회계추정 및 가정:,2022,,3,,1,3,1306
2022_note_3_2_chunk_2,2022_note_3_2,note_block,3. 중요한 회계추정 및 가정:,2022,,3,,2,3,602
2022_note_4_3_chunk_0,2022_note_4_3,note_block,4. 범주별 금융상품:,2022,,4,,0,1,98
2022_note_5_4_chunk_0,2022_note_5_4,note_block,5. 금융자산의 양도:,2022,,5,,0,1,260
2022_note_6_5_chunk_0,2022_note_6_5,note_block,6. 공정가치금융자산:,2022,,6,,0,1,265
2022_note_7_6_chunk_0,2022_note_7_6,note_block,7. 매출채권 및 미수금:,2022,,7,,0,1,346
2022_note_8_7_chunk_0,2022_note_8_7,note_block,8. 재고자산:,2022,,8,,0,1,137
2022_note_9_8_chunk_0,2022_note_9_8,note_block,"9. 종속기업, 관계기업 및 공동기업 투자:",2022,,9,,0,1,257
2022_note_10_9_chunk_0,2022_note_10_9,note_block,10. 유형자산:,2022,,10,,0,1,161
