doc_id,source_type,title,year,statement_type,note_number,section_type,text_length
2015_note_17_18,note_block,17. 순확정급여,2015,,17,,764
2015_note_19_19,note_block,19. 우발부채와 약정사항 :,2015,,19,,2321
2015_note_20_20,note_block,20. 자본금 :,2015,,20,,314
2015_note_21_21,note_block,21. 이익잉여금 :,2015,,21,,420
2015_note_22_22,note_block,22. 주당배당금 :,2015,,22,,118
2015_note_23_23,note_block,23. 기타자본항목 :,2015,,23,,550
2015_note_25_24,note_block,25. 비용의 성격별 분류 :,2015,,25,,90
2015_note_26_25,note_block,26. 판매비와관리비 :,2015,,26,,45
2015_note_27_26,note_block,27. 기타수익,2015,,27,,54
2015_note_28_27,note_block,28. 금융수익 및 금융비용 :,2015,,28,,111
2015_note_29_28,note_block,29. 법인세비용 :,2015,,29,,520
2015_note_30_29,note_block,30. 주당이익 :,2015,,30,,255
2015_note_31_30,note_block,31. 현금흐름표 :,2015,,31,,292
2015_note_32_31,note_block,32. 재무위험관리 :,2015,,32,,5177
2015_note_33_32,note_block,33. 특수관계자와의 거래 :,2015,,33,,1503
2015_note_34_33,note_block,34. 매각예정분류(처분자산집단) :,2015,,34,,773
2015_note_35_34,note_block,35. 보고기간 후 사건 :,2015,,35,,642
2015_balance_sheet,normalized_table,balance_sheet,2015,balance_sheet,,,2157
2015_income_statement,normalized_table,income_statement,2015,income_statement,,,663
2015_comprehensive_income,normalized_table,comprehensive_income,2015,comprehensive_income,,,374
2015_changes_in_equity_prior_period_0,normalized_table,changes_in_equity - prior_period,2015,changes_in_equity,,,867
2015_changes_in_equity_current_period_1,normalized_table,changes_in_equity - current_period,2015,changes_in_equity,,,873
2015_cash_flow,normalized_table,cash_flow,2015,cash_flow,,,1550
2015_table_summary_0,table_summary,table_summary_0,2015,,,,107
2015_table_summary_1,table_summary,table_summary_1,2015,,,,91
2015_table_summary_2,table_summary,table_summary_2,2015,,,,79
2015_table_summary_3,table_summary,table_summary_3,2015,,,,97
2015_table_summary_4,table_summary,table_summary_4,2015,,,,211
2015_table_summary_5,table_summary,table_summary_5,2015,,,,62
2015_table_summary_6,table_summary,table_summary_6,2015,,,,107
2015_table_summary_7,table_summary,table_summary_7,2015,,,,107
2015_table_summary_8,table_summary,table_summary_8,2015,,,,97
2015_table_summary_9,table_summary,table_summary_9,2015,,,,135
2015_table_summary_10,table_summary,table_summary_10,2015,,,,202
2015_table_summary_11,table_summary,table_summary_11,2015,,,,165
2015_table_summary_12,table_summary,table_summary_12,2015,,,,82
2015_table_summary_13,table_summary,table_summary_13,2015,,,,257
2015_table_summary_14,table_summary,table_summary_14,2015,,,,199
2015_table_summary_15,table_summary,table_summary_15,2015,,,,82
2015_table_summary_16,table_summary,table_summary_16,2015,,,,287
2015_table_summary_17,table_summary,table_summary_17,2015,,,,198
2015_table_summary_18,table_summary,table_summary_18,2015,,,,82
2015_table_summary_19,table_summary,table_summary_19,2015,,,,258
2015_table_summary_20,table_summary,table_summary_20,2015,,,,192
2015_table_summary_21,table_summary,table_summary_21,2015,,,,82
2015_table_summary_22,table_summary,table_summary_22,2015,,,,250
2015_table_summary_23,table_summary,table_summary_23,2015,,,,189
2015_table_summary_24,table_summary,table_summary_24,2015,,,,82
2015_table_summary_25,table_summary,table_summary_25,2015,,,,114
2015_table_summary_26,table_summary,table_summary_26,2015,,,,97
2015_table_summary_27,table_summary,table_summary_27,2015,,,,96
2015_table_summary_28,table_summary,table_summary_28,2015,,,,63
2015_table_summary_29,table_summary,table_summary_29,2015,,,,119
2015_table_summary_30,table_summary,table_summary_30,2015,,,,63
2015_table_summary_31,table_summary,table_summary_31,2015,,,,78
2015_table_summary_32,table_summary,table_summary_32,2015,,,,63
2015_table_summary_33,table_summary,table_summary_33,2015,,,,165
2015_table_summary_34,table_summary,table_summary_34,2015,,,,63
2015_table_summary_35,table_summary,table_summary_35,2015,,,,152
2015_table_summary_36,table_summary,table_summary_36,2015,,,,63
2015_table_summary_37,table_summary,table_summary_37,2015,,,,165
2015_table_summary_38,table_summary,table_summary_38,2015,,,,63
2015_table_summary_39,table_summary,table_summary_39,2015,,,,152
2015_table_summary_40,table_summary,table_summary_40,2015,,,,63
2015_table_summary_41,table_summary,table_summary_41,2015,,,,188
2015_table_summary_42,table_summary,table_summary_42,2015,,,,63
2015_table_summary_43,table_summary,table_summary_43,2015,,,,147
2015_table_summary_44,table_summary,table_summary_44,2015,,,,63
2015_table_summary_45,table_summary,table_summary_45,2015,,,,191
2015_table_summary_46,table_summary,table_summary_46,2015,,,,63
2015_table_summary_47,table_summary,table_summary_47,2015,,,,182
2015_table_summary_48,table_summary,table_summary_48,2015,,,,63
2015_table_summary_49,table_summary,table_summary_49,2015,,,,146
2015_table_summary_50,table_summary,table_summary_50,2015,,,,63
2015_table_summary_51,table_summary,table_summary_51,2015,,,,133
2015_table_summary_52,table_summary,table_summary_52,2015,,,,63
2015_table_summary_53,table_summary,table_summary_53,2015,,,,131
2015_table_summary_54,table_summary,table_summary_54,2015,,,,63
2015_table_summary_55,table_summary,table_summary_55,2015,,,,141
2015_table_summary_56,table_summary,table_summary_56,2015,,,,63
2015_table_summary_57,table_summary,table_summary_57,2015,,,,136
2015_table_summary_58,table_summary,table_summary_58,2015,,,,63
2015_table_summary_59,table_summary,table_summary_59,2015,,,,124
2015_table_summary_60,table_summary,table_summary_60,2015,,,,63
2015_table_summary_61,table_summary,table_summary_61,2015,,,,112
2015_table_summary_62,table_summary,table_summary_62,2015,,,,62
2015_table_summary_63,table_summary,table_summary_63,2015,,,,140
2015_table_summary_64,table_summary,table_summary_64,2015,,,,63
2015_table_summary_65,table_summary,table_summary_65,2015,,,,192
2015_table_summary_66,table_summary,table_summary_66,2015,,,,63
2015_table_summary_67,table_summary,table_summary_67,2015,,,,184
2015_table_summary_68,table_summary,table_summary_68,2015,,,,63
2015_table_summary_69,table_summary,table_summary_69,2015,,,,118
2015_table_summary_70,table_summary,table_summary_70,2015,,,,63
2015_table_summary_71,table_summary,table_summary_71,2015,,,,204
2015_table_summary_72,table_summary,table_summary_72,2015,,,,63
2015_table_summary_73,table_summary,table_summary_73,2015,,,,172
2015_table_summary_74,table_summary,table_summary_74,2015,,,,63
2015_table_summary_75,table_summary,table_summary_75,2015,,,,152
2015_table_summary_76,table_summary,table_summary_76,2015,,,,63
2015_table_summary_77,table_summary,table_summary_77,2015,,,,251
2015_table_summary_78,table_summary,table_summary_78,2015,,,,63
2015_table_summary_79,table_summary,table_summary_79,2015,,,,132
2015_table_summary_80,table_summary,table_summary_80,2015,,,,187
2015_table_summary_81,table_summary,table_summary_81,2015,,,,124
2015_table_summary_82,table_summary,table_summary_82,2015,,,,63
2015_table_summary_83,table_summary,table_summary_83,2015,,,,258
2015_table_summary_84,table_summary,table_summary_84,2015,,,,63
2015_table_summary_85,table_summary,table_summary_85,2015,,,,256
2015_table_summary_86,table_summary,table_summary_86,2015,,,,63
2015_table_summary_87,table_summary,table_summary_87,2015,,,,166
2015_table_summary_88,table_summary,table_summary_88,2015,,,,63
2015_table_summary_89,table_summary,table_summary_89,2015,,,,175
2015_table_summary_90,table_summary,table_summary_90,2015,,,,63
2015_table_summary_91,table_summary,table_summary_91,2015,,,,166
2015_table_summary_92,table_summary,table_summary_92,2015,,,,63
2015_table_summary_93,table_summary,table_summary_93,2015,,,,182
2015_table_summary_94,table_summary,table_summary_94,2015,,,,63
2015_table_summary_95,table_summary,table_summary_95,2015,,,,143
2015_table_summary_96,table_summary,table_summary_96,2015,,,,63
2015_table_summary_97,table_summary,table_summary_97,2015,,,,218
2015_table_summary_98,table_summary,table_summary_98,2015,,,,63
2015_table_summary_99,table_summary,table_summary_99,2015,,,,239
2015_table_summary_100,table_summary,table_summary_100,2015,,,,63
2015_table_summary_101,table_summary,table_summary_101,2015,,,,241
2015_table_summary_102,table_summary,table_summary_102,2015,,,,63
